t;Brauendistanz(Pixel);AU27;Mund_Nasen_Falte(Pixel/Fenstergroesse);Tonlage
0;40;0;22;130
0,1;40;1;21;127
0,2;42;0;26;130
0,3;41;0;24;132
0,4;40;0;23;131
0,5;42;1;21;135
0,6;42;0;20;134
0,7;41;0;23;135
0,8;41;0;21;134
0,9;41;0;24;130
1;41;0;23;129
1,1;41;0;28;131
1,2;41;0;21;135
1,3;40;0;24;133
1,4;41;1;22;137
1,5;41;0;26;141
1,6;41;0;26;138
1,7;41;0;27;140
1,8;40;0;24;138
1,9;40;0;24;137
2;41;0;27;140
2,1;42;0;23;137
2,2;40;0;27;138
2,3;41;0;21;140
2,4;40;0;21;135
2,5;40;0;27;137
2,6;41;0;21;138
2,7;40;0;21;136
2,8;40;0;28;140
2,9;38;0;24;132
3;38;0;21;126
3,1;36;0;18;122
3,2;38;0;18;121
3,3;38;0;18;122
3,4;37;0;21;120
3,5;38;0;18;125
3,6;37;0;19;123
3,7;38;0;16;122
3,8;39;1;21;123
3,9;37;0;16;120
4;37;0;19;121
4,1;39;0;18;123
4,2;39;0;18;124
4,3;38;0;21;123
4,4;38;0;21;125
4,5;38;0;21;124
4,6;38;0;18;123
4,7;37;0;15;124
4,8;36;0;15;123
4,9;42;0;17;123
5;43;0;21;122
5,1;42;0;20;124
5,2;44;0;14;124
5,3;42;0;14;125
5,4;37;0;18;126
5,5;36;0;15;124
5,6;39;0;20;123
5,7;36;0;16;124
5,8;36;0;16;123
5,9;38;0;17;124
6;37;0;17;124
6,1;38;0;14;123
6,2;37;0;22;125
6,3;38;0;14;123
6,4;38;0;22;124
6,5;37;0;20;122
6,6;36;0;16;121
6,7;37;1;21;124
6,8;36;0;22;123
6,9;42;0;26;
7;41;0;24;
7,1;40;0;28;
7,2;40;0;25;
7,3;42;0;25;
7,4;40;0;25;
7,5;40;0;22;
7,6;41;0;21;
7,7;42;0;25;
7,8;41;0;23;
7,9;41;0;28;
8;42;0;24;
8,1;42;0;26;
8,2;40;0;22;
8,3;41;0;24;
8,4;41;0;26;
8,5;42;0;24;
8,6;41;0;26;
8,7;40;0;28;
8,8;41;0;28;
8,9;40;0;27;
9;39;0;24;157
9,1;39;0;41;165
9,2;39;1;40;172
9,3;40;1;40;178
9,4;39;0;45;182
9,5;39;1;41;183
9,6;39;0;44;180
9,7;39;0;39;182
9,8;41;0;43;183
9,9;40;1;37;185
10;40;0;42;188
10,1;39;1;45;186
10,2;39;1;45;186
10,3;40;0;34;185
10,4;40;0;32;185
10,5;40;0;30;186
10,6;40;0;28;187
10,7;40;0;44;190
10,8;39;0;44;187
10,9;40;0;39;188
11;38;0;42;189
11,1;40;0;40;194
11,2;40;0;37;195
11,3;39;1;42;194
11,4;40;0;44;192
11,5;40;0;40;190
11,6;39;0;43;184
11,7;39;0;45;180
11,8;39;0;22;182
11,9;39;0;25;180
12;41;0;23;
12,1;40;0;22;
12,2;40;0;26;
12,3;41;0;22;
12,4;41;0;24;
12,5;40;0;27;
12,6;41;0;23;
12,7;41;0;27;
12,8;42;0;29;
12,9;41;0;42;
13;42;0;45;
13,1;40;0;47;
13,2;41;0;36;
13,3;41;0;26;
13,4;42;0;27;
13,5;41;0;24;
13,6;41;0;25;
13,7;49;0;25;247
13,8;49;1;14;255
13,9;49;1;17;267
14;48;1;13;256
14,1;49;1;13;254
14,2;49;1;18;254
14,3;49;0;14;257
14,4;48;1;14;260
14,5;50;0;14;267
14,6;49;1;12;254
14,7;49;1;13;257
14,8;50;1;15;260
14,9;49;1;14;263
15;45;0;25;267
15,1;44;0;28;259
15,2;43;0;15;250
15,3;45;0;15;210
15,4;43;0;18;212
15,5;50;1;16;223
15,6;48;1;18;235
15,7;49;1;15;250
15,8;41;1;13;255
15,9;41;0;13;257
16;42;0;24;245
16,1;40;0;26;
16,2;42;0;25;
16,3;41;0;26;
16,4;41;0;22;
16,5;41;0;22;
16,6;42;0;24;
16,7;41;0;22;
16,8;45;0;23;
16,9;47;0;22;
17;50;0;24;
17,1;48;0;27;
17,2;40;0;25;
17,3;41;0;25;
17,4;41;0;24;
17,5;41;0;23;
17,6;35;0;23;
17,7;35;0;40;123
17,8;36;0;42;130
17,9;35;0;42;119
18;37;0;38;121
18,1;37;0;38;120
18,2;36;0;37;123
18,3;36;0;41;122
18,4;36;0;39;129
18,5;37;0;36;123
18,6;37;0;41;124
18,7;36;0;40;125
18,8;36;0;38;123
18,9;35;0;39;124
19;37;0;40;122
19,1;35;0;39;120
19,2;35;0;37;123
19,3;37;0;42;120
19,4;37;0;39;121
19,5;36;0;41;123
19,6;37;0;42;124
19,7;43;0;37;126
19,8;42;0;41;128
19,9;42;0;39;130
20;41;0;26;
20,1;41;0;28;
20,2;42;0;25;
20,3;43;0;25;
20,4;43;0;26;
20,5;43;0;24;
20,6;41;0;23;
20,7;42;0;25;
20,8;43;0;27;
20,9;42;0;23;
21;42;0;23;
21,1;41;0;23;
21,2;42;0;28;
21,3;42;0;25;
21,4;41;0;25;
21,5;42;0;24;155
21,6;26;1;46;162
21,7;25;1;47;167
21,8;26;1;44;156
21,9;27;1;42;157
22;27;1;45;156
22,1;26;1;46;158
22,2;27;1;42;162
22,3;27;1;47;161
22,4;26;0;47;159
22,5;25;1;47;166
22,6;26;0;34;165
22,7;25;0;32;159
22,8;26;1;43;155
22,9;27;1;45;152
23;28;1;46;153
23,1;27;1;43;154
23,2;25;0;27;145
23,3;38;1;44;126
23,4;39;0;23;127
23,5;41;0;28;126
23,6;41;0;25;129
23,7;40;0;25;130
23,8;39;0;23;132
23,9;41;0;25;133
24;39;0;25;132
24,1;39;1;24;129
24,2;40;0;27;128
24,3;40;0;27;125
24,4;40;0;27;125
24,5;40;0;25;124
24,6;38;0;22;125
24,7;40;0;26;127
24,8;41;0;25;123
24,9;41;0;23;124
25;40;0;24;126
